gender,parent_age,child_age,key,array_index,premi
PRIA,19,6,ku,6,2716
PRIA,19,6,ku,7,3395
PRIA,19,6,ku,8,6790
PRIA,19,7,ji,3,5.74
PRIA,19,7,ji,4,7.18
PRIA,19,7,ji,5,8.61
PRIA,19,7,ji,6,12.90
PRIA,19,7,ji,7,23.00
PRIA,19,7,ji,8,115.00
PRIA,19,7,ju,3,623
PRIA,19,7,ju,4,830
PRIA,19,7,ju,5,1122
PRIA,19,7,ju,6,1496
PRIA,19,7,ju,7,1870
PRIA,19,7,ju,8,3320
PRIA,19,7,ki,1,5.48
PRIA,19,7,ki,2,8.22
PRIA,19,7,ki,3,10.80
PRIA,19,7,ki,4,12.33
PRIA,19,7,ki,5,14.79
PRIA,19,7,ki,6,21.90
PRIA,19,7,ki,7,43.80
PRIA,19,7,ki,8,219.00
PRIA,19,7,ku,2,858
PRIA,19,7,ku,3,1158
PRIA,19,7,ku,4,1544
PRIA,19,7,ku,5,2058
PRIA,19,7,ku,6,2744
PRIA,19,7,ku,7,3430
PRIA,19,7,ku,8,6860
PRIA,19,8,ji,3,5.88
PRIA,19,8,ji,4,7.35
PRIA,19,8,ji,5,8.82
PRIA,19,8,ji,6,13.25
PRIA,19,8,ji,7,23.50
PRIA,19,8,ji,8,117.50
PRIA,19,8,ju,3,635
PRIA,19,8,ju,4,846
PRIA,19,8,ju,5,1143
PRIA,19,8,ju,6,1524
PRIA,19,8,ju,7,1905
PRIA,19,8,ju,8,3380
PRIA,19,8,ki,1,5.66
PRIA,19,8,ki,2,8.49
PRIA,19,8,ki,3,10.80
PRIA,19,8,ki,4,12.73
PRIA,19,8,ki,5,15.27
PRIA,19,8,ki,6,22.65
PRIA,19,8,ki,7,45.30
PRIA,19,8,ki,8,226.50
PRIA,19,8,ku,2,868
PRIA,19,8,ku,3,1172
PRIA,19,8,ku,4,1562
PRIA,19,8,ku,5,2082
PRIA,19,8,ku,6,2776
PRIA,19,8,ku,7,3470
PRIA,19,8,ku,8,6940
PRIA,19,9,ji,3,5.96
PRIA,19,9,ji,4,7.45
PRIA,19,9,ji,5,8.94
PRIA,19,9,ji,6,13.40
PRIA,19,9,ji,7,23.80
PRIA,19,9,ji,8,119.00
PRIA,19,9,ju,3,645
PRIA,19,9,ju,4,860
PRIA,19,9,ju,5,1161
PRIA,19,9,ju,6,1548
PRIA,19,9,ju,7,1920
PRIA,19,9,ju,8,3440
PRIA,19,9,ki,1,5.75
PRIA,19,9,ki,2,8.63
PRIA,19,9,ki,3,10.80
PRIA,19,9,ki,4,12.95
PRIA,19,9,ki,5,15.54
PRIA,19,9,ki,6,23.00
PRIA,19,9,ki,7,46.00
PRIA,19,9,ki,8,230.00
PRIA,19,9,ku,2,877
PRIA,19,9,ku,3,1184
PRIA,19,9,ku,4,1578
PRIA,19,9,ku,5,2106
PRIA,19,9,ku,6,2808
PRIA,19,9,ku,7,3510
PRIA,19,9,ku,8,7020
PRIA,20,0,ji,3,5.42
PRIA,20,0,ji,4,6.78
PRIA,20,0,ji,5,8.13
PRIA,20,0,ji,6,12.20
PRIA,20,0,ji,7,21.70
PRIA,20,0,ji,8,108.50
PRIA,20,0,ju,3,608
PRIA,20,0,ju,4,810
PRIA,20,0,ju,5,1095
PRIA,20,0,ju,6,1460
PRIA,20,0,ju,7,1825
PRIA,20,0,ju,8,3240
PRIA,20,0,ki,1,5.69
PRIA,20,0,ki,2,8.54
PRIA,20,0,ki,3,10.80
PRIA,20,0,ki,4,12.80
PRIA,20,0,ki,5,15.36
PRIA,20,0,ki,6,22.75
PRIA,20,0,ki,7,45.50
PRIA,20,0,ki,8,227.50
PRIA,20,0,ku,2,910
PRIA,20,0,ku,3,1229
PRIA,20,0,ku,4,1638
PRIA,20,0,ku,5,2184
PRIA,20,0,ku,6,2912
PRIA,20,0,ku,7,3640
PRIA,20,0,ku,8,7280
PRIA,20,1,ji,3,5.52
PRIA,20,1,ji,4,6.90
PRIA,20,1,ji,5,8.28
PRIA,20,1,ji,6,12.40
PRIA,20,1,ji,7,22.10
PRIA,20,1,ji,8,110.50
PRIA,20,1,ju,3,621
PRIA,20,1,ju,4,828
PRIA,20,1,ju,5,1119
PRIA,20,1,ju,6,1492
PRIA,20,1,ju,7,1865
PRIA,20,1,ju,8,3310
PRIA,20,1,ki,1,5.69
PRIA,20,1,ki,2,8.54
PRIA,20,1,ki,3,10.80
PRIA,20,1,ki,4,12.80
PRIA,20,1,ki,5,15.36
PRIA,20,1,ki,6,22.75
PRIA,20,1,ki,7,45.50
PRIA,20,1,ki,8,227.50
PRIA,20,1,ku,2,920
PRIA,20,1,ku,3,1242
PRIA,20,1,ku,4,1656
PRIA,20,1,ku,5,2208
PRIA,20,1,ku,6,2944
PRIA,20,1,ku,7,3680
PRIA,20,1,ku,8,7360
PRIA,20,10,ji,3,6.28
PRIA,20,10,ji,4,7.85
PRIA,20,10,ji,5,9.42
PRIA,20,10,ji,6,14.15
PRIA,20,10,ji,7,25.10
PRIA,20,10,ji,8,125.50
PRIA,20,10,ju,3,735
PRIA,20,10,ju,4,980
PRIA,20,10,ju,5,1323
PRIA,20,10,ju,6,1764
PRIA,20,10,ju,7,1960
PRIA,20,10,ju,8,3920
PRIA,20,10,ki,1,6.04
PRIA,20,10,ki,2,9.06
PRIA,20,10,ki,3,10.88
PRIA,20,10,ki,4,13.60
PRIA,20,10,ki,5,16.32
PRIA,20,10,ki,6,24.15
PRIA,20,10,ki,7,48.30
PRIA,20,10,ki,8,241.50
PRIA,20,10,ku,1,502
PRIA,20,10,ku,2,1004
PRIA,20,10,ku,3,1356
PRIA,20,10,ku,4,1808
PRIA,20,10,ku,5,2409
PRIA,20,10,ku,6,3212
PRIA,20,10,ku,7,4015
PRIA,20,10,ku,8,8030
PRIA,20,11,ji,2,5.60
PRIA,20,11,ji,3,7.46
PRIA,20,11,ji,4,9.33
PRIA,20,11,ji,5,10.80
PRIA,20,11,ji,6,16.80
PRIA,20,11,ji,7,29.80
PRIA,20,11,ji,8,149.00
PRIA,20,11,ju,3,747
PRIA,20,11,ju,4,996
PRIA,20,11,ju,5,1344
PRIA,20,11,ju,6,1792
PRIA,20,11,ju,7,1990
PRIA,20,11,ju,8,3980
PRIA,20,11,ki,1,6.08
PRIA,20,11,ki,2,9.12
PRIA,20,11,ki,3,10.94
PRIA,20,11,ki,4,13.68
PRIA,20,11,ki,5,16.41
PRIA,20,11,ki,6,24.30
PRIA,20,11,ki,7,48.60
PRIA,20,11,ki,8,243.00
PRIA,20,11,ku,1,507
PRIA,20,11,ku,2,1014
PRIA,20,11,ku,3,1370
PRIA,20,11,ku,4,1826
PRIA,20,11,ku,5,2433
PRIA,20,11,ku,6,3244
PRIA,20,11,ku,7,4055
PRIA,20,11,ku,8,8110
PRIA,20,2,ji,3,5.56
PRIA,20,2,ji,4,6.95
PRIA,20,2,ji,5,8.34
PRIA,20,2,ji,6,12.50
PRIA,20,2,ji,7,22.20
PRIA,20,2,ji,8,111.00
PRIA,20,2,ju,3,633
PRIA,20,2,ju,4,844
PRIA,20,2,ju,5,1140
PRIA,20,2,ju,6,1520
PRIA,20,2,ju,7,1900
PRIA,20,2,ju,8,3380
PRIA,20,2,ki,1,5.72
PRIA,20,2,ki,2,8.58
PRIA,20,2,ki,3,10.80
PRIA,20,2,ki,4,12.88
